,corridor,direction,month,weekday,hour,pctge_c2g_mean,pctge_c2p_mean,pctge_tractocamiones_mean
239,CL13,0,2,Saturday,23,8.0,70.5,21.25
240,CL13,0,2,Sunday,0,0.0,75.0,25.0
241,CL13,0,2,Sunday,1,0.0,83.33333333333333,16.666666666666668
242,CL13,0,2,Sunday,2,0.0,50.0,50.0
243,CL13,0,2,Sunday,3,0.0,66.75,33.25
244,CL13,0,2,Sunday,4,0.0,39.25,60.75
245,CL13,0,2,Sunday,5,0.0,50.0,50.0
246,CL13,0,2,Sunday,6,17.666666666666668,64.66666666666667,17.666666666666668
247,CL13,0,2,Sunday,7,8.5,45.75,45.75
248,CL13,0,2,Sunday,8,0.0,58.25,41.75
249,CL13,0,2,Sunday,9,5.0,67.5,27.5
250,CL13,0,2,Sunday,10,0.0,58.25,41.75
251,CL13,0,2,Sunday,11,13.0,48.333333333333336,39.0
252,CL13,0,2,Sunday,12,4.5,59.25,36.25
253,CL13,0,2,Sunday,13,0.0,69.25,30.75
254,CL13,0,2,Sunday,14,3.0,87.5,9.25
255,CL13,0,2,Sunday,15,4.75,59.75,35.75
256,CL13,0,2,Sunday,16,4.25,90.75,5.0
257,CL13,0,2,Sunday,17,11.0,55.666666666666664,33.333333333333336
258,CL13,0,2,Sunday,18,0.0,70.75,29.25
259,CL13,0,2,Sunday,19,0.0,65.0,35.0
260,CL13,0,2,Sunday,20,0.0,100.0,0.0
261,CL13,0,2,Sunday,21,0.0,100.0,0.0
262,CL13,0,2,Sunday,22,0.0,89.0,11.0
263,CL13,0,2,Sunday,23,0.0,25.0,75.0
264,CL13,0,2,Thursday,0,0.0,47.5,52.5
265,CL13,0,2,Thursday,1,0.0,66.5,33.5
266,CL13,0,2,Thursday,2,0.0,60.0,40.0
267,CL13,0,2,Thursday,3,0.0,72.75,27.25
268,CL13,0,2,Thursday,4,5.75,62.25,32.0
269,CL13,0,2,Thursday,5,3.5000000000000004,82.5,13.75
270,CL13,0,2,Thursday,6,1.7500000000000002,67.75,30.5
271,CL13,0,2,Thursday,7,2.0,84.0,14.0
272,CL13,0,2,Thursday,8,3.25,76.5,20.5
273,CL13,0,2,Thursday,9,0.75,75.5,23.75
274,CL13,0,2,Thursday,10,2.25,69.75,28.0
275,CL13,0,2,Thursday,11,12.5,51.5,36.0
276,CL13,0,2,Thursday,12,1.3333333333333333,74.0,25.0
277,CL13,0,2,Thursday,13,2.25,73.5,24.25
278,CL13,0,2,Thursday,14,1.25,75.0,23.75
279,CL13,0,2,Thursday,15,2.5,73.5,24.25
280,CL13,0,2,Thursday,16,6.0,70.5,23.5
281,CL13,0,2,Thursday,17,4.25,72.25,24.0
282,CL13,0,2,Thursday,18,0.0,76.75,23.25
283,CL13,0,2,Thursday,19,4.25,66.5,28.75
284,CL13,0,2,Thursday,20,5.25,70.75,23.75
285,CL13,0,2,Thursday,21,7.5,53.25,39.0
286,CL13,0,2,Thursday,22,2.0,58.75,39.25
287,CL13,0,2,Thursday,23,1.7500000000000002,68.5,29.5
288,CL13,0,2,Tuesday,0,0.0,26.75,73.25
289,CL13,0,2,Tuesday,1,0.0,67.0,33.0
290,CL13,0,2,Tuesday,2,5.0,60.0,35.0
291,CL13,0,2,Tuesday,3,0.0,91.75,8.25
292,CL13,0,2,Tuesday,4,2.25,68.0,29.75
293,CL13,0,2,Tuesday,5,2.25,78.5,19.25
294,CL13,0,2,Tuesday,6,0.0,73.25,26.75
295,CL13,0,2,Tuesday,7,1.5,82.0,16.5
296,CL13,0,2,Tuesday,8,0.0,73.75,26.25
297,CL13,0,2,Tuesday,9,0.75,83.5,15.75
298,CL13,0,2,Tuesday,10,4.25,67.75,27.5
299,CL13,0,2,Tuesday,11,9.25,61.25,29.75
300,CL13,0,2,Tuesday,12,3.75,68.0,28.25
301,CL13,0,2,Tuesday,13,0.5,77.0,22.5
302,CL13,0,2,Tuesday,14,4.25,76.0,19.5
303,CL13,0,2,Tuesday,15,1.25,77.5,21.25
304,CL13,0,2,Tuesday,16,6.75,69.25,24.0
305,CL13,0,2,Tuesday,17,3.75,73.5,22.75
306,CL13,0,2,Tuesday,18,0.5,70.75,28.75
307,CL13,0,2,Tuesday,19,1.75,66.0,32.0
308,CL13,0,2,Tuesday,20,3.0,70.75,26.25
309,CL13,0,2,Tuesday,21,10.75,54.5,35.0
310,CL13,0,2,Tuesday,22,0.0,66.75,33.25
311,CL13,0,2,Tuesday,23,0.0,67.75,32.25
312,CL13,0,2,Wednesday,0,0.0,56.0,44.0
313,CL13,0,2,Wednesday,1,10.25,59.5,30.5
314,CL13,0,2,Wednesday,2,0.0,80.0,20.0
315,CL13,0,2,Wednesday,3,0.0,80.5,19.5
316,CL13,0,2,Wednesday,4,0.0,55.5,44.5
317,CL13,0,2,Wednesday,5,0.0,71.75,28.25
318,CL13,0,2,Wednesday,6,0.0,69.5,30.5
319,CL13,0,2,Wednesday,7,0.0,80.75,19.25
320,CL13,0,2,Wednesday,8,0.75,81.25,18.0
321,CL13,0,2,Wednesday,9,1.5,78.25,20.25
322,CL13,0,2,Wednesday,10,3.25,66.5,30.5
323,CL13,0,2,Wednesday,11,7.75,63.5,29.25
324,CL13,0,2,Wednesday,12,3.5,66.25,30.25
325,CL13,0,2,Wednesday,13,2.25,73.0,24.75
326,CL13,0,2,Wednesday,14,3.25,80.0,17.0
327,CL13,0,2,Wednesday,15,2.75,77.0,20.25
328,CL13,0,2,Wednesday,16,3.25,74.5,22.5
329,CL13,0,2,Wednesday,17,2.75,83.5,14.0
330,CL13,0,2,Wednesday,18,2.25,72.0,25.75
331,CL13,0,2,Wednesday,19,4.666666666666667,70.33333333333333,25.0
332,CL13,0,2,Wednesday,20,6.25,63.0,31.25
333,CL13,0,2,Wednesday,21,7.25,49.75,43.5
334,CL13,0,2,Wednesday,22,0.0,63.5,36.5
335,CL13,0,2,Wednesday,23,2.0,72.0,26.0
336,CL13,0,3,Friday,0,0.0,45.0,55.0
337,CL13,0,3,Friday,1,5.2,73.2,21.6
338,CL13,0,3,Friday,2,0.0,68.4,31.6
339,CL13,0,3,Friday,3,0.0,85.0,15.0
340,CL13,0,3,Friday,4,0.0,57.8,42.2
341,CL13,0,3,Friday,5,0.0,74.4,25.6
342,CL13,0,3,Friday,6,2.0,79.4,18.6
343,CL13,0,3,Friday,7,0.0,78.2,21.8
344,CL13,0,3,Friday,8,3.8,77.0,18.8
345,CL13,0,3,Friday,9,1.8,80.2,18.0
346,CL13,0,3,Friday,10,2.6,68.8,28.4
347,CL13,0,3,Friday,11,10.0,62.6,27.4
348,CL13,0,3,Friday,12,4.4,69.6,25.8
349,CL13,0,3,Friday,13,5.0,75.0,19.6
350,CL13,0,3,Friday,14,1.4000000000000001,80.6,18.0
351,CL13,0,3,Friday,15,3.6,72.6,23.6
352,CL13,0,3,Friday,16,5.6,71.2,23.0
353,CL13,0,3,Friday,17,4.4,71.0,24.2
354,CL13,0,3,Friday,18,0.6,73.8,25.6
355,CL13,0,3,Friday,19,4.4,62.2,33.2
356,CL13,0,3,Friday,20,5.6,64.0,30.4
357,CL13,0,3,Friday,21,3.4,61.6,35.2
358,CL13,0,3,Friday,22,0.0,51.6,48.4
359,CL13,0,3,Friday,23,2.2,61.0,36.6
360,CL13,0,3,Monday,0,0.0,75.0,25.0
361,CL13,0,3,Monday,1,4.5,63.75,31.75
362,CL13,0,3,Monday,2,0.0,83.33333333333333,16.666666666666668
363,CL13,0,3,Monday,3,15.5,70.75,13.75
364,CL13,0,3,Monday,4,0.0,71.5,28.5
365,CL13,0,3,Monday,5,0.0,95.33333333333333,4.666666666666667
366,CL13,0,3,Monday,6,2.75,80.75,16.5
367,CL13,0,3,Monday,7,0.0,74.0,26.0
368,CL13,0,3,Monday,8,5.0,82.5,12.5
369,CL13,0,3,Monday,9,4.25,60.5,35.25
370,CL13,0,3,Monday,10,1.0,77.25,22.0
371,CL13,0,3,Monday,11,8.0,62.25,29.5
372,CL13,0,3,Monday,12,4.25,67.25,28.0
373,CL13,0,3,Monday,13,2.0,72.5,25.5
374,CL13,0,3,Monday,14,2.0,77.5,20.5
375,CL13,0,3,Monday,15,2.0,68.0,29.75
376,CL13,0,3,Monday,16,3.25,77.5,19.25
377,CL13,0,3,Monday,17,2.5,62.25,35.5
378,CL13,0,3,Monday,18,1.0,81.25,17.75
379,CL13,0,3,Monday,19,5.666666666666667,59.666666666666664,35.0
380,CL13,0,3,Monday,20,3.25,66.5,30.25
381,CL13,0,3,Monday,21,7.0,66.0,27.0
382,CL13,0,3,Monday,22,0.0,70.5,29.5
383,CL13,0,3,Monday,23,0.0,42.333333333333336,57.666666666666664
384,CL13,0,3,Saturday,0,0.0,31.6,68.4
385,CL13,0,3,Saturday,1,2.2,68.0,29.8
386,CL13,0,3,Saturday,2,0.0,68.4,31.6
387,CL13,0,3,Saturday,3,0.0,83.4,16.6
388,CL13,0,3,Saturday,4,2.0,65.0,33.0
389,CL13,0,3,Saturday,5,4.0,74.6,21.4
390,CL13,0,3,Saturday,6,3.8,82.8,13.4
391,CL13,0,3,Saturday,7,2.8000000000000003,80.0,17.4
392,CL13,0,3,Saturday,8,3.4,78.2,18.6
393,CL13,0,3,Saturday,9,2.4,73.2,24.4
394,CL13,0,3,Saturday,10,2.8,73.0,24.0
395,CL13,0,3,Saturday,11,7.2,67.6,25.4
396,CL13,0,3,Saturday,12,2.8,67.2,29.6
397,CL13,0,3,Saturday,13,1.6,77.0,21.4
398,CL13,0,3,Saturday,14,1.8,78.6,20.0
399,CL13,0,3,Saturday,15,0.8,75.6,23.4
400,CL13,0,3,Saturday,16,5.8,68.8,25.4
401,CL13,0,3,Saturday,17,2.0,76.4,21.4
402,CL13,0,3,Saturday,18,1.8,75.2,23.0
403,CL13,0,3,Saturday,19,0.0,65.4,34.6
404,CL13,0,3,Saturday,20,2.8,77.4,19.8
405,CL13,0,3,Saturday,21,3.0,56.2,40.8
406,CL13,0,3,Saturday,22,4.0,72.6,23.4
407,CL13,0,3,Saturday,23,0.0,88.4,11.6
408,CL13,0,3,Sunday,0,16.666666666666668,22.0,61.333333333333336
409,CL13,0,3,Sunday,1,0.0,80.0,20.0
410,CL13,0,3,Sunday,2,0.0,58.25,41.75
411,CL13,0,3,Sunday,3,0.0,93.4,6.6
412,CL13,0,3,Sunday,4,0.0,49.8,50.2
413,CL13,0,3,Sunday,5,0.0,61.0,39.0
414,CL13,0,3,Sunday,6,0.0,70.0,30.0
415,CL13,0,3,Sunday,7,6.6,76.6,16.6
416,CL13,0,3,Sunday,8,0.0,100.0,0.0
417,CL13,0,3,Sunday,9,4.0,71.0,25.0
418,CL13,0,3,Sunday,10,7.4,68.2,24.4
419,CL13,0,3,Sunday,11,0.0,67.4,32.6
420,CL13,0,3,Sunday,12,2.6,65.2,32.2
421,CL13,0,3,Sunday,13,2.0,74.0,24.0
422,CL13,0,3,Sunday,14,2.4,72.4,25.0
423,CL13,0,3,Sunday,15,1.6,80.0,18.4
424,CL13,0,3,Sunday,16,6.8,72.6,20.6
425,CL13,0,3,Sunday,17,0.0,76.6,23.4
426,CL13,0,3,Sunday,18,0.0,88.4,11.6
427,CL13,0,3,Sunday,19,0.0,71.0,29.0
428,CL13,0,3,Sunday,20,0.0,49.6,50.4
429,CL13,0,3,Sunday,21,8.25,62.5,29.25
430,CL13,0,3,Sunday,22,6.6,78.4,15.0
431,CL13,0,3,Sunday,23,0.0,33.333333333333336,66.66666666666667
