year,month,operation_code,departamento,count
2019,8,False,GUAVIARE,34
2019,8,False,HUILA,1058
2019,8,False,LA GUAJIRA,375
2019,8,False,MAGDALENA,68
2019,8,False,META,3100
2019,8,False,NARINO,694
2019,8,False,NORTE DE SANTANDER,2891
2019,8,False,PUTUMAYO,65
2019,8,False,QUINDIO,448
2019,8,False,RISARALDA,5754
2019,8,False,SANTANDER,3773
2019,8,False,SUCRE,103
2019,8,False,TOLIMA,12703
2019,8,False,VALLE DEL CAUCA,246778
2019,8,False,VICHADA,1
2019,8,True,AMAZONAS,2
2019,8,True,ANTIOQUIA,244959
2019,8,True,ARAUCA,1724
2019,8,True,ATLANTICO,30467
2019,8,True,BOLIVAR,49822
2019,8,True,BOYACA,5495
2019,8,True,CALDAS,12683
2019,8,True,CAQUETA,1242
2019,8,True,CASANARE,4433
2019,8,True,CAUCA,1511
2019,8,True,CESAR,1309
2019,8,True,CHOCO,18
2019,8,True,CORDOBA,1452
2019,8,True,CUNDINAMARCA,42119
2019,8,True,GUAINIA,4
2019,8,True,GUAVIARE,841
2019,8,True,HUILA,5967
2019,8,True,LA GUAJIRA,476
2019,8,True,MAGDALENA,115
2019,8,True,META,9687
2019,8,True,NARINO,3898
2019,8,True,NORTE DE SANTANDER,10907
2019,8,True,PUTUMAYO,467
2019,8,True,QUINDIO,642
2019,8,True,RISARALDA,15162
2019,8,True,SANTANDER,8421
2019,8,True,SUCRE,1035
2019,8,True,TOLIMA,50880
2019,8,True,VALLE DEL CAUCA,348980
2019,8,True,VAUPES,16
2019,8,True,VICHADA,24
2019,9,False,ANTIOQUIA,132094
2019,9,False,ARAUCA,217
2019,9,False,ATLANTICO,20026
2019,9,False,"BOGOTA, D.C.",2793
2019,9,False,BOLIVAR,81705
2019,9,False,BOYACA,1972
2019,9,False,CALDAS,7748
2019,9,False,CAQUETA,192
2019,9,False,CASANARE,2583
2019,9,False,CAUCA,1365
2019,9,False,CESAR,295
2019,9,False,CORDOBA,272
2019,9,False,CUNDINAMARCA,72918
2019,9,False,GUAVIARE,22
2019,9,False,HUILA,1059
2019,9,False,LA GUAJIRA,176
2019,9,False,MAGDALENA,52
2019,9,False,META,2665
2019,9,False,NARINO,647
2019,9,False,NORTE DE SANTANDER,2601
2019,9,False,PUTUMAYO,81
2019,9,False,QUINDIO,489
2019,9,False,RISARALDA,5648
2019,9,False,SANTANDER,3562
2019,9,False,SUCRE,103
2019,9,False,TOLIMA,11642
2019,9,False,VALLE DEL CAUCA,243348
2019,9,False,VICHADA,3
2019,9,True,AMAZONAS,12
2019,9,True,ANTIOQUIA,250841
2019,9,True,ARAUCA,1395
2019,9,True,ATLANTICO,31276
2019,9,True,BOLIVAR,47405
2019,9,True,BOYACA,5386
2019,9,True,CALDAS,11673
2019,9,True,CAQUETA,1448
2019,9,True,CASANARE,4517
2019,9,True,CAUCA,1603
2019,9,True,CESAR,1196
2019,9,True,CHOCO,20
2019,9,True,CORDOBA,1429
2019,9,True,CUNDINAMARCA,42196
2019,9,True,GUAINIA,7
2019,9,True,GUAVIARE,820
2019,9,True,HUILA,5859
2019,9,True,LA GUAJIRA,498
2019,9,True,MAGDALENA,131
2019,9,True,META,9254
2019,9,True,NARINO,3918
2019,9,True,NORTE DE SANTANDER,10082
2019,9,True,PUTUMAYO,434
2019,9,True,QUINDIO,612
2019,9,True,RISARALDA,15603
2019,9,True,SANTANDER,7728
2019,9,True,SUCRE,813
2019,9,True,TOLIMA,51596
2019,9,True,VALLE DEL CAUCA,339158
2019,9,True,VAUPES,20
2019,9,True,VICHADA,27
2019,10,False,ANTIOQUIA,135544
2019,10,False,ARAUCA,234
2019,10,False,ATLANTICO,19504
2019,10,False,"BOGOTA, D.C.",2660
2019,10,False,BOLIVAR,88197
2019,10,False,BOYACA,1915
2019,10,False,CALDAS,7869
2019,10,False,CAQUETA,183
2019,10,False,CASANARE,2603
2019,10,False,CAUCA,1365
2019,10,False,CESAR,307
2019,10,False,CHOCO,2
2019,10,False,CORDOBA,284
2019,10,False,CUNDINAMARCA,75519
2019,10,False,GUAVIARE,4
2019,10,False,HUILA,1091
2019,10,False,LA GUAJIRA,176
2019,10,False,MAGDALENA,75
2019,10,False,META,2268
2019,10,False,NARINO,661
2019,10,False,NORTE DE SANTANDER,2732
2019,10,False,PUTUMAYO,81
2019,10,False,QUINDIO,456
2019,10,False,RISARALDA,6420
2019,10,False,SANTANDER,3831
2019,10,False,SUCRE,128
2019,10,False,TOLIMA,13935
2019,10,False,VALLE DEL CAUCA,246988
2019,10,False,VICHADA,3
2019,10,True,AMAZONAS,11
2019,10,True,ANTIOQUIA,265947
2019,10,True,ARAUCA,1661
2019,10,True,ATLANTICO,32084
2019,10,True,"BOGOTA, D.C.",19
2019,10,True,BOLIVAR,50217
2019,10,True,BOYACA,5405
2019,10,True,CALDAS,12796
2019,10,True,CAQUETA,1425
2019,10,True,CASANARE,5188
2019,10,True,CAUCA,1574
2019,10,True,CESAR,1159
2019,10,True,CHOCO,25
2019,10,True,CORDOBA,1314
2019,10,True,CUNDINAMARCA,45773
2019,10,True,GUAINIA,11
2019,10,True,GUAVIARE,882
2019,10,True,HUILA,5833
2019,10,True,LA GUAJIRA,447
2019,10,True,MAGDALENA,129
2019,10,True,META,9289
2019,10,True,NARINO,3938
2019,10,True,NORTE DE SANTANDER,12061
2019,10,True,PUTUMAYO,475
2019,10,True,QUINDIO,589
2019,10,True,RISARALDA,15242
2019,10,True,SANTANDER,8577
2019,10,True,SUCRE,962
2019,10,True,TOLIMA,54333
2019,10,True,VALLE DEL CAUCA,363709
2019,10,True,VAUPES,5
2019,10,True,VICHADA,21
2019,11,False,ANTIOQUIA,119461
2019,11,False,ARAUCA,181
2019,11,False,ATLANTICO,18384
2019,11,False,"BOGOTA, D.C.",4218
2019,11,False,BOLIVAR,83482
2019,11,False,BOYACA,1385
2019,11,False,CALDAS,6954
2019,11,False,CAQUETA,147
2019,11,False,CASANARE,2254
2019,11,False,CAUCA,1248
2019,11,False,CESAR,163
2019,11,False,CHOCO,1
2019,11,False,CORDOBA,228
2019,11,False,CUNDINAMARCA,71903
2019,11,False,GUAVIARE,14
2019,11,False,HUILA,918
2019,11,False,LA GUAJIRA,207
2019,11,False,MAGDALENA,78
2019,11,False,META,1926
2019,11,False,NARINO,620
2019,11,False,NORTE DE SANTANDER,2622
2019,11,False,PUTUMAYO,57
2019,11,False,QUINDIO,458
2019,11,False,RISARALDA,5868
2019,11,False,SANTANDER,3330
2019,11,False,SUCRE,102
2019,11,False,TOLIMA,11815
2019,11,False,VALLE DEL CAUCA,219945
2019,11,False,VAUPES,1
2019,11,False,VICHADA,2
2019,11,True,AMAZONAS,11
2019,11,True,ANTIOQUIA,222675
2019,11,True,ARAUCA,1317
2019,11,True,ATLANTICO,28574
2019,11,True,BOLIVAR,45855
2019,11,True,BOYACA,4928
2019,11,True,CALDAS,11524
2019,11,True,CAQUETA,1247
2019,11,True,CASANARE,4730
2019,11,True,CAUCA,1345
2019,11,True,CESAR,1113
2019,11,True,CHOCO,19
2019,11,True,CORDOBA,1343
2019,11,True,CUNDINAMARCA,40927
2019,11,True,GUAINIA,2
2019,11,True,GUAVIARE,842
2019,11,True,HUILA,5502
2019,11,True,LA GUAJIRA,537
2019,11,True,MAGDALENA,118
2019,11,True,META,8482
2019,11,True,NARINO,3633
2019,11,True,NORTE DE SANTANDER,10378
2019,11,True,PUTUMAYO,420
2019,11,True,QUINDIO,530
2019,11,True,RISARALDA,13959
2019,11,True,SANTANDER,7684
2019,11,True,SUCRE,854
2019,11,True,TOLIMA,49205
2019,11,True,VALLE DEL CAUCA,319720
2019,11,True,VAUPES,8
2019,11,True,VICHADA,26
2019,12,False,ANTIOQUIA,111491
2019,12,False,ARAUCA,46
2019,12,False,ATLANTICO,16682
2019,12,False,"BOGOTA, D.C.",4066
2019,12,False,BOLIVAR,71737
2019,12,False,BOYACA,1282
2019,12,False,CALDAS,6821
2019,12,False,CAQUETA,182
2019,12,False,CASANARE,2033
2019,12,False,CAUCA,1202
2019,12,False,CESAR,181
2019,12,False,CHOCO,1
2019,12,False,CORDOBA,198
2019,12,False,CUNDINAMARCA,67127
2019,12,False,GUAVIARE,12
2019,12,False,HUILA,969
2019,12,False,LA GUAJIRA,163
2019,12,False,MAGDALENA,57
2019,12,False,META,1844
2019,12,False,NARINO,603
2019,12,False,NORTE DE SANTANDER,2638
2019,12,False,PUTUMAYO,56
2019,12,False,QUINDIO,356
2019,12,False,RISARALDA,5837
2019,12,False,SANTANDER,3198
2019,12,False,SUCRE,114
2019,12,False,TOLIMA,12009
2019,12,False,VALLE DEL CAUCA,197016
2019,12,False,VICHADA,2
2019,12,True,AMAZONAS,12
2019,12,True,ANTIOQUIA,205930
2019,12,True,ARAUCA,708
2019,12,True,ATLANTICO,28303
2019,12,True,"BOGOTA, D.C.",19
2019,12,True,BOLIVAR,40310
2019,12,True,BOYACA,4838
2019,12,True,CALDAS,10367
2019,12,True,CAQUETA,1299
2019,12,True,CASANARE,4153
2019,12,True,CAUCA,1285
2019,12,True,CESAR,960
2019,12,True,CHOCO,28
2019,12,True,CORDOBA,1248
2019,12,True,CUNDINAMARCA,41081
2019,12,True,GUAINIA,2
2019,12,True,GUAVIARE,673
2019,12,True,HUILA,5258
2019,12,True,LA GUAJIRA,502
2019,12,True,MAGDALENA,118
2019,12,True,META,7958
2019,12,True,NARINO,2983
2019,12,True,NORTE DE SANTANDER,8359
2019,12,True,PUTUMAYO,414
2019,12,True,QUINDIO,568
2019,12,True,RISARALDA,13664
2019,12,True,SANTANDER,6870
2019,12,True,SUCRE,837
2019,12,True,TOLIMA,47883
2019,12,True,VALLE DEL CAUCA,288584
2019,12,True,VAUPES,8
2019,12,True,VICHADA,25
