codigo_siniestro,fecha,hora,gravedad,clase,choque_con,objeto_fijo,direccion,total_muertos,total_heridos,localidad,diseno_lugar,corredor,direcc_1,ciudad,pais,ciclista,conductor,motociclista,pasajero,peaton,total_condicion,herido,ileso,muerto,sin_informacion_x,total_estado,femenino,masculino,total_sexo,automovil,bicicleta,bus,buseta,camion_furgon,camioneta,campero,cuatrimoto,microbus,motocarro,motocicleta,motociclo,tractocamion,volqueta,total_clase,diplomatico,oficial,particular,publico,total_servicio,first_codc,codigo_causa,descripcion,direcc_2,direcc_3,direcc_copl,hora_1,lat,lon,year_month,year,month,day,hour,sentido,dia,carga_S/N,accidents_road_1_cl13,accidents_road_1_cl80
4447914,6/07/2016,11:20:00,Con Heridos,Choque,Vehiculo,,AC 80-KR 104 02,0,1,Engativá,Interseccion,Calle 80,Calle 80,Bogotá,Colombia,0,1,1,0,0,2,1,1,0,0,2,0,2,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,1,1,2,112,112,DESOBEDECER SEÑALES,104,2,Avenida Calle 80 # 104 02 Bogotá Colombia,6/11/2020 11:20,4.6940409,-74.0869892,2016-07,2016,7,Wednesday,11,east_west,Miercoles,0,FALSE,FALSE
4447942,6/09/2016,15:30:00,Con Heridos,Caida de ocupante,,,AC 80-KR 84 35,0,1,Engativá,Tramo de Via,Calle 80,Calle 80,Bogotá,Colombia,0,1,0,1,0,2,1,1,0,0,2,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,119,119,FRENAR BRUSCAMENTE,84,35,Avenida Calle 80 # 84 35 Bogotá Colombia,6/11/2020 15:30,4.6678491,-74.0622513,2016-09,2016,9,Tuesday,15,west_east,Martes,0,FALSE,FALSE
4447958,6/11/2016,3:50:00,Con Heridos,Atropello,,,AC 80-KR 99 02,0,1,Engativá,Tramo de Via,Calle 80,Calle 80,Bogotá,Colombia,0,1,0,0,1,2,1,1,0,0,2,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,410,410,CRUZAR EN ESTADO DE EMBRIAGUEZ,99,2,Avenida Calle 80 # 99 02 Bogotá Colombia,6/11/2020 3:50,4.6940409,-74.0869892,2016-11,2016,11,Sunday,3,east_west,Domingo,0,FALSE,FALSE
4448522,15/06/2016,11:00:00,Solo Daños,Choque,Vehiculo,,AC 80-KR 71 02,0,0,Engativá,Tramo de Via,Calle 80,Calle 80,Bogotá,Colombia,0,2,0,0,0,2,0,2,0,0,2,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,1,2,157,157,OTRA,71,2,Avenida Calle 80 # 71 02 Bogotá Colombia,6/11/2020 11:00,4.6940409,-74.0869892,2016-06,2016,6,Wednesday,11,east_west,Miercoles,1,FALSE,FALSE
4448573,16/06/2016,9:30:00,Solo Daños,Choque,Vehiculo,,AC 80-KR 120 02,0,0,Engativá,Glorieta,Calle 80,Calle 80,Bogotá,Colombia,0,2,0,0,0,2,0,2,0,0,2,0,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,1,2,132,132,NO RESPETAR PRELACIÓN,120,2,Avenida Calle 80 # 120 02 Bogotá Colombia,6/11/2020 9:30,4.6940409,-74.0869892,2016-06,2016,6,Thursday,9,east_west,Jueves,1,FALSE,FALSE
4448752,16/06/2016,14:45:00,Solo Daños,Choque,Vehiculo,,AC 80-KR 74 02,0,0,Engativá,Tramo de Via,Calle 80,Calle 80,Bogotá,Colombia,0,2,0,0,0,2,0,2,0,0,2,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,2,103,103,ADELANTAR CERRANDO,74,2,Avenida Calle 80 # 74 02 Bogotá Colombia,6/11/2020 14:45,4.6940409,-74.0869892,2016-06,2016,6,Thursday,14,east_west,Jueves,0,FALSE,FALSE
4449065,21/06/2016,19:47:00,Con Heridos,Otro,,,AC 80-KR 100 52,0,1,Engativá,Tramo de Via,Calle 80,Calle 80,Bogotá,Colombia,0,1,0,1,0,2,1,1,0,0,2,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,217,217,OTRA,100,52,Avenida Calle 80 # 100 52 Bogotá Colombia,6/11/2020 19:47,4.6678491,-74.0622513,2016-06,2016,6,Tuesday,19,east_west,Martes,0,FALSE,FALSE
4450374,7/03/2016,15:30:00,Solo Daños,Choque,Vehiculo,,AC 80-KR 114 02,0,0,Engativá,Tramo de Via,Calle 80,Calle 80,Bogotá,Colombia,0,2,0,0,0,2,0,2,0,0,2,0,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,2,132,132,NO RESPETAR PRELACIÓN,114,2,Avenida Calle 80 # 114 02 Bogotá Colombia,6/11/2020 15:30,4.6940409,-74.0869892,2016-03,2016,3,Monday,15,east_west,Lunes,0,FALSE,FALSE
4450609,7/07/2016,16:30:00,Solo Daños,Choque,Vehiculo,,AC 80-KR 112F 02,0,0,Engativá,Tramo de Via,Calle 80,Calle 80,Bogotá,Colombia,0,2,0,0,0,2,0,2,0,0,2,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,2,2,121,121,NO MANTENER DISTANCIA DE SEGURIDAD,112F,2,Avenida Calle 80 # 112F 02 Bogotá Colombia,6/11/2020 16:30,4.6960664,-74.0898692,2016-07,2016,7,Thursday,16,east_west,Jueves,0,FALSE,FALSE
4451569,16/07/2016,7:30:00,Solo Daños,Choque,Vehiculo,,AC 80-KR 101 02,0,0,Engativá,Tramo de Via,Calle 80,Calle 80,Bogotá,Colombia,0,2,0,0,0,2,0,2,0,0,2,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,1,1,2,121,121,NO MANTENER DISTANCIA DE SEGURIDAD,101,2,Avenida Calle 80 # 101 02 Bogotá Colombia,6/11/2020 7:30,4.6940409,-74.0869892,2016-07,2016,7,Saturday,7,east_west,Sabado,1,FALSE,FALSE
4451805,19/07/2016,15:30:00,Solo Daños,Choque,Vehiculo,,AC 80-TR 81 02,0,0,Engativá,Interseccion,Calle 80,Calle 80,Bogotá,Colombia,0,1,1,0,0,2,0,2,0,0,2,0,2,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,1,1,2,121,121,NO MANTENER DISTANCIA DE SEGURIDAD,81,2,Avenida Calle 80 # 81 02 Bogotá Colombia,6/11/2020 15:30,4.6940409,-74.0869892,2016-07,2016,7,Tuesday,15,east_west,Martes,0,FALSE,FALSE
4451859,20/07/2016,2:30:00,Solo Daños,Choque,Vehiculo,,AC 80-KR 68C 02,0,0,Engativá,Tramo de Via,Calle 80,Calle 80,Bogotá,Colombia,0,2,0,0,0,2,0,2,0,0,2,0,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,1,2,121,121,NO MANTENER DISTANCIA DE SEGURIDAD,68C,2,Avenida Calle 80 # 68C 02 Bogotá Colombia,6/11/2020 2:30,4.6940409,-74.0869892,2016-07,2016,7,Wednesday,2,east_west,Miercoles,0,FALSE,FALSE
4452103,22/07/2016,6:20:00,Solo Daños,Choque,Vehiculo,,AC 80-KR 85A 02,0,0,Engativá,Tramo de Via,Calle 80,Calle 80,Bogotá,Colombia,0,3,0,0,0,3,0,3,0,0,3,3,0,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,1,2,3,121,121,NO MANTENER DISTANCIA DE SEGURIDAD,85A,2,Avenida Calle 80 # 85A 02 Bogotá Colombia,6/11/2020 6:20,4.6940409,-74.0869892,2016-07,2016,7,Friday,6,east_west,Viernes,1,FALSE,FALSE
